,Scrape Date,Category,Thumbnail,Title,Stars,N_Ratings,Price,Availability,Description,Product Dimensions,Item Weight,Country of Origin,Number of Pieces,Batteries required,Brand,UPC,Number of Items,Manufacturer,ASIN,Best Sellers Rank,model name,capacity,wattage,date first available,item model number,voltage
0,2025-03-08 15:40:53.783736,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/81pRQm5asAL._SX522_.jpg,"EUHOMY Ice Maker Countertop, Portable Ice Machine with Carry Handle, 26.5lbs Per Day, 9 Cubes in 6 Mins, Auto-Cleaning, with Basket and Scoop, for Home, Kitchen, Camping, RV (Silver)",4.5,756 ratings,$69.99,In Stock,"6 Mins Ice-Making & Ultra Quieter: Our Euhomy ice maker only takes 6 minutes to make 9 bullet-shaped ice cubes. With a 1.2L water tank and powerful compressor, the portable ice maker easily makes maximum ice capacity to 26.5lbs ice per day and holds up to 1.3lbs ice at a time. Our ice maker operates quietly, with a noise level under 45 dB, providing a serene ambiance while producing ice
Portable Design & Excellent Bullet Ice: Our ice maker comes with a sturdy handle, weighs only 13.38lbs and with compact size 9.25(L)x11.54(W)x11.61(H)in. Those features make ice maker easy to carry and perform well on any occasions like Kitchen/Home/Camping/RV. Also, the newly designed countertop ice maker produce the most popular bullet-shaped smooth ice cubes, which won't stick together easily or hurt your hands or mouth even are excellent for cold drinks or iced coffee
Smart Design & Auto-Cleaning: The ice maker has advanced infrared sensor. The ""lCE FULL"" indicator light will turn on when the basket is full. And it'll remind you to add water by flashing ""ADD WATER"". Moreover, the compact ice maker has a one-touch auto-cleaning function. Press the “Ice/Clean"" for 3s after adding water to run automatic mode for 30mins, allowing you to clean it quickly and easily
User Friendly & Simple Operation: With large see-through window visualized design, Our ice maker allowing monitor the ice production process. Equipped with a 170w upgraded compressor that 4kWh per day energy consumption to save your electricity bills. And with a easily control panel that simplifies operation to merely two steps-filling with water and pressing the""Ice/Clean"" button-our ice maker delivers fresh bullet ice for you and your family in no time
Included Accessories & Service Promise: Include handle, ice basket, ice scoop, manual and well-designed package. Our Mission is committed to providing customers with premium Euhomy ice maker at a reasonable price. You totally deserve a more exquisite life! We offer 12-month after-sales service from the original purchase date & technical service support. Suppose you have any questions about using our Ice Maker, our customer support is always ready to help you",9.25 x 11.54 x 11.61 inches; 13.4 Pounds,,China,,,EUHOMY,,,EUHOMY,B0D3GV1VQS,#8 in Ice Makers,ice maker,26.5 Pounds,170 watts,"May 7, 2024",IM-18S,
1,2025-03-08 15:40:53.904844,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/71TDnkJFxdL._SX522_.jpg,"DUMOS Ice Maker Countertop Ice Machine Compact Size with Handle, 26lbs in 24Hrs, 9 Bullet Ice Cubes in 6 Mins, Self-Cleaning Function, Portable for Home, Kitchen, RV, Camping, Quiet Operation, Black",4.1,124 ratings,$49.95,In Stock,"FAST ICE MAKING: The ice maker can make 9 bullet-shaped ice cubes in just 6 minutes. Fill 1.5L of water into the water tank, maximum ice capacity can reach 26.5 pounds in 24 hours. Say goodbye to long waiting times and enjoy a constant supply of ice whenever you need it. It has a transparent window, so you can watch the ice being made.
TWO SIZES OF ICE CUBES: You can make two different sizes of ice cubes with this ice machine maker. Small ice cubes are great for keeping seafood or beer fresh and cool for a long time. Large cubes are better for making iced coffee or cold drinks for a quick cooling effect. Smooth bullet ice that won't hurt your hands or mouth during use.
SELF-CLEANING FUNCTION: The countertop ice machine has a self-cleaning function that can be activated by pressing the on/off button for 5 seconds. This will ensure that you can enjoy clean and healthy ice in addition to allowing you to clean it quickly and easily. This ice cube maker comes with an ice scoop and a removable ice basket in the package.
PORTABLE ICE MAKER: This counter top ice machine maker weighs 15.4 pounds and is designed with a convenient carry handle. The small ice maker measures 8.8*11.6*12.5 inches. You can place the mini portable ice maker countertop anywhere, perfect for the kitchen, office, bar, camping, RV, or parties.
SMART & SIMPLE OPERATION: The control panel is very easy to operate. Enjoy fresh ice with 3 easy steps! When the water is insufficient or the ice basket is full, the indicator light will turn on. When making ice cubes, the noise is lower than 40dB, similar to a working refrigerator.",11.5 x 8.9 x 12.4 inches; 17.6 Pounds,,China,,,DUMOS,,,DUMOS,B0DRDBQVBQ,#2 in Ice Makers,DUMOS Ice Maker Countertop 8342,26 Pounds,,"December 24, 2024",,115 Volts
2,2025-03-08 15:40:54.049995,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/718a7VbShXL._SX522_.jpg,"Nugget Ice Maker Countertop, Silonn Chewable Pellet Ice Machine with Self-Cleanin Function, 33lbs/24H Portable Ice Makers for Home Kitchen Officce, Black",4.3,"1,701 ratings",$159.99,In Stock,"LIGHTNING FAST ICE MAKER - The Silonn Nugget Ice Maker can produce up to 33 pounds of ice per day. This countertop ice maker makes ice so fast that the first round takes only 6 minutes, much faster than the average 20 minutes.
CHEWABLE NUGGET ICE - Our nugget ice maker produces chewable nugget ice, perfect for smoothies, cocktails, sodas, and more. Unlike regular ice cubes, the satisfying crunch and chewy texture of nugget ice comes from the compacted and layered ice flakes, resulting in a better mouthfeel.
SELF-CLEANING FUNCTION - The countertop ice maker has a removable cover that makes it easy to reach every nook and cranny for deep cleaning. The ice maker also features an automatic self-cleaning cycle that can be activated by pressing and holding the ICE/CLEAN button for 5 seconds.
QUIET ICE-MAKING - The nugget ice maker is designed with a quiet cooling process, making it one of the quietest nugget ice makers on the market. Enjoy silent, smooth operation that doesn’t disturb your home or office space. An indicator light illuminates when water is low or the ice basket is full.
COMPACT AND PORTABLE - The ice maker measures 11.3″ W x 8.66″ D x 12.68″ H, compact enough to fit right on your countertop and perfect for use at home, in the office, or at parties. Take this nugget ice maker wherever you go and enjoy frozen treats with friends and family.
Note : Please check the dimension and item weight of the product and confirm it fits your space.",8.66 x 11.3 x 12.68 inches; 20.45 Pounds,,China,,,Silonn,,,Silonn,B0C9SWH3RC,#5 in Ice Makers,Nugget Ice Maker,33 Pounds,192 watts,"June 30, 2023",SLIM17B,
3,2025-03-08 15:40:54.201074,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/717Bh1wcU5L._AC_SX679_.jpg,"EUHOMY Countertop Ice Maker Machine with Handle, 26lbs in 24Hrs, 9 Ice Cubes Ready in 6 Mins, Auto-Cleaning Portable Ice Maker with Basket and Scoop, for Home/Kitchen/Camping/RV. (Black)",4.4,"12,398 ratings",$89.99,In Stock,"6 Mins Ice-Making & Ultra Quieter: Our Euhomy ice maker only takes 6mins that will enjoy the first batch of fresh bullet ice. With a 1.2L water tank and powerful compressor, the portable ice maker easily makes maximum ice capacity to 26lbs ice per day and holds up to 1.3lbs ice at a time. Also, our ice maker is not only excellent in refrigeration, but also at less than 45db normal noise, ensuring a comfortable and quiet environment to enjoy ice-making, similar to a working freezer.
Portable Design & Perfect Bullet Ice: Our ice maker comes with a sturdy handle, weighs only 13.89lbs and with compact size 11.57(L)*11.42(W)*8.74(H)in. Those features make ice maker easy to carry and perform well on any occasions like Kitchen/Home/Camping/RV/Party/Dorm. Also, the newly designed countertop ice maker produce the most popular bullet-shaped smooth ice cubes, which won't stick together easily or hurt your hands or mouth even are perfect for cold drinks, iced coffee or chew as snacks.
Smart Operation & Self-Cleaning: The ice maker has advanced infrared sensor. The ""ICE FULL"" indicator flashes remind you to take out ice to prevent overflowing when the basket is full. And it'll remind you to add water by flashing ""ADD WATER"". Additionly, the compact ice maker has a one-touch auto-cleaning function. Press the “ON/OFF” for 5s after adding water to run automatic mode for 30mins. Not only are your hands-free but also you get a clean ice maker.
User Friendly & Simple Operation: Euhomy ice maker is a popular and classic model of the moment adopts large see-through window visualized, allowing viewing of the interior ice-making. Equipped with a 170w upgraded compressor that 4kWh/24H energy consumption to save your electricity bills. And with a easy-to-operate controlable panel for faster operation in just two steps, adding water and press ""ON/OFF"". Then our ice maker will provide you fresh bullet ice for you and your member timely.
Superior Quality & Warranty Promise: Include handle, ice basket, ice scoop, manual and well-designed package can as gifts. Our Mission is committed to providing customers with premium Euhomy ice maker at a reasonable price. You totally deserve a more exquisite life! We offer ① 12-month warranty from the original purchase date; ② Lifetime technical service support. Suppose you have any questions about using our Ice Maker, Our 7*24-hour customer support is always ready to help you!","11.57""D x 11.42""W x 8.74""H",12.87 pounds,China,,,EUHOMY,197644191543,,E EUHOMY,B0BWHZJHPL,#1 in Appliances (See Top 100 in Appliances) #1 in Ice Makers,ice maker,26 pounds,170 watts,"March 6, 2024",IM-06D-HM,115 volts
4,2025-03-08 15:40:54.364959,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/71dHlxHLqTL.__AC_SY445_SX342_QL70_FMwebp_.jpg,"EUHOMY Nugget Ice Maker Countertop with Handle, Ready in 6 Mins, 34lbs Per Day, Removable Top Cover, Auto-Cleaning, Portable Sonic Ice Maker with Basket and Scoop, for Home/Party/RV/Camping (Black)",4.3,"16,219 ratings",$169.99,In Stock,"6 MINS ICE-MAKING & NUGGET ICE: Quench your thirst fast with efficient EUHOMY nugget ice maker! You can enjoy fresh sonic ice and cold drinks in 6 to 8 mins. Featuring a 1.2Qt water tank, it easily makes up to 34 lbs of ice daily and has a 1.8 lbs removeable basket. The unique, crunchy soft pellet ice won't hurt your hands or mouth and cools drinks quickly while retaining their taste, providing a joyfully chewable experience. It's so perfect for icing coffee, smoothies and munching on ice as a snack
COMPACT & PORTABLE DESIGN: Our nugget ice maker has a sturdy handle, a compact size (LWH) of 9.45x11.61x12.99 inch and pretty light weight. Those features make our pebble ice maker easy to carry and so excellent for any occasions such as Home/Office/Camping/Party/Bar/RV. Another user-friendly design is the ice scoop holder on the back that allows easy storage when not in use, the large viewing window allows direct monitoring of the ice-making process. Buy now and enjoy refreshing drinks all summer long
SMART & AUTO-CLEANING: Unlike other ice makers that run in cycles, aging the internals. EUHOMY nugget ice maker features ""ICE FULL"" indicator to stop ice-making and remind you to take out ice. The ""ADD WATER"" will alert you to add water. Pellet ice maker will run a 15 mins self-cleaning by a simple press the ""Ice/Clean"" for 3s after adding water. The top cover is also easily lifted for more thorough cleaning. Our double cleaning design provides a safe and clean ice-making experience
QUIETER & ENERGY-SAVING: Our countertop nugget ice maker excellent at refrigeration while running at less than 50 dB noise, ensuring a comfortable and quiet environment for working or sleeping. With its low energy consumption of about 3 kWh/Daily, you'll save more on electricity bills while enjoying refreshing drinks. And by choosing our ice maker, you'll wow your guests before they try delicious sonic ice
ETL CERTIFICATION & SERVICE PROMISE: Our nugget ice maker is ETL certified to promise safety. You can use pebble ice maker with confidence. Our mission is to provide premium ice makers at reasonable prices. We offer 1-year after-sales service from the original purchase date & technical support. Suppose you have any questions about using our pellet ice maker, please reach out to us anytime! Our customer teams are always ready to help you with anything you need","9.45""D x 11.61""W x 12.99""H",19.58 pounds,China,,,EUHOMY,850052496135,,E EUHOMY,B0C32SGKMJ,#4 in Appliances (See Top 100 in Appliances) #4 in Ice Makers,nugget ice maker,34 pounds,15.62 watts,"March 6, 2024",IM-12S-HM,120 volts
5,2025-03-08 15:40:54.583618,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/71oLd5NNknL._AC_SX679_.jpg,"Ice Makers Countertop,26Lbs/24H,9 Cubes in 6 Mins,Portable Ice Maker Machine with Self-Cleaning,2 Sizes of Bullet Ice,Perfect for Home Kitchen(Black)",4.6,209 ratings,$69.98,In Stock,"Easy-control countertop ice maker, enjoy the fresh bullet ice maker anytime. bullet ice maker","11.61""D x 9.45""W x 11.69""H",14.12 pounds,China,,,Electactic,,,Electactic,B0DFH1WPMC,#6 in Appliances (See Top 100 in Appliances) #6 in Ice Makers,ice maker,26 pounds,300 watts,"August 28, 2024",Z5812B-BLACK,110 volts
6,2025-03-08 15:40:54.717377,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/61AURME4oOL._SX522_.jpg,"Silonn Ice Maker Countertop, Portable Ice Machine with Carry Handle, Self-Cleaning Ice Makers with Basket and Scoop, 9 Cubes in 6 Mins, 26 lbs per Day, Ideal for Home, Kitchen, Camping, RV",4.4,"4,183 ratings",$79.89,In Stock,"PERFECT COMPACT SIZE: Measuring only 8.7 x 11.4 x 11.6 inches in size, the ice maker can easily fit on the countertop, kitchen island, or desk without taking up too much space
EFFICIENT ICE MAKING: Make bullet-shaped ice cubes in just 6 minutes! The powerful compressor can produce up to 26 lbs per day with 1.3 lbs storage capacity. The 1.2 L water tank keeps the machine topped up and ready to go
CONVENIENT PORTABLE ICE MAKER: The sturdy handle makes the ice maker countetop easy to carry, while the scoop attaches to the basket for convenient storage. Weighing just 13.7 lbs, you can take this compact ice machine room to room or to an event with ease
SIMPLE CONTROL PANEL: Enjoy fresh ice with 3 easy steps! Fill the reservoir, switch the unit on, then select small or large ice cubes. The ice maker machine features an indicator light to notify when water needs to be added or ice is full. Upgrade your home or office with ice makers that both fast and easy to use
SELF-CLEANING FUNCTION: Keep your ice fresh and clean with the automatic self-cleaning function. Simply remove the basket, add water, then hold the CLEAN button for 5 seconds to activate. After 30 minutes, you’ll be ready to make a new batch",8.74 x 11.42 x 11.57 inches; 13.67 Pounds,,China,,,Silonn,,,Silonn,B0BXXKFJK2,#11 in Ice Makers,SLIM21,12 Kilograms,160 watts,"March 9, 2023",SLIM21B,
7,2025-03-08 15:40:54.844826,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/719jg8P8lEL._AC_SX679_.jpg,"SMUG Countertop Ice Maker, 9 Cubes in 6 Mins, 26lbs in 24Hrs, 2 Sizes of Bullet Ice, Auto-Cleaning, Portable Ice Machine with Handle, Basket and Scoop for Home Kitchen, Party and Camping (Green)",4.3,196 ratings,$49.00,In Stock,"90%PP, 10%ABS
Imported
【Portable Design】 The ice maker countertop measures 8.8 x 11.6 x 12.5 inches, and its compact size doesn't take up much space. Easy to carry at 15.4 pounds, this compact ice machine maker countertop can be placed in your kitchen, patio, office or RV.
【Fast Ice Making】 9 bullet-shaped ice cubes can be made in just 6 minutes.Equipped with a 1.5-liter tank, the portable ice maker can easily produce up to 26.5 pounds of ice per day. This quick ice making feature ensures that you are always ready for a party or spontaneous celebration.
【2 Bullet Ice Sizes】 The ice machine makes small ice by default, if you need to change to large ice, you need to click ""SELECT"" key. ""SEKECT"" can be switched between large ice and small ice, and can be switched during the ice making process.
【Efficient automatic cleaning】Press on/off for 5 seconds to enjoy the convenience of automatic cleaning function to keep your ice maker machine in top condition. This feature saves you time and effort by ensuring that your ice makers is always ready to deliver fresh, clean ice.
【Intelligent control panel】Large ice, small ice, power supply, water shortage, ice full and cleaning indicator light makes the status of the ice maker visible. The intuitive and intelligent control panel makes operation of your ice maker a breeze.","11""D x 8""W x 12""H",16.74 pounds,China,,No,SMUG,797434060471,,SMUG,B09BVWBMJP,#3 in Appliances (See Top 100 in Appliances) #3 in Ice Makers,Ice Maker,1.5 liters,,,Ice Maker GN,115 volts
8,2025-03-08 15:40:54.965541,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/716dqcT2tSL._SX522_.jpg,"HealSmart Ice Maker for Countertop, 9 Ice Cubes Ready in 6 Mins, 26lbs Ice/24Hrs, with Self-Cleaning Feature, Ice Spoon and Basket, for Home, Kitchen, Camping, Party, Black",4.5,324 ratings,$54.99,In Stock,"HealSmart Ice Maker for Countertop, 9 Ice Cubes Ready in 6 Mins, 26lbs Ice/24Hrs, with Self-Cleaning Feature, Ice Spoon and Basket, for Home, Kitchen, Camping, Party, Black",11.57 x 8.74 x 11.42 inches; 14.6 Pounds,,China,,,HealSmart,,,HealSmart,B0D93V1F1C,#7 in Ice Makers,"Ready in 6 Mins, 26lbs Ice/24Hrs, with",26 Pounds,95 watts,"July 9, 2024","Ice Maker for Countertop, 9 Ice Cubes",
9,2025-03-08 15:40:55.106300,"Appliances\Refrigerators, Freezers & Ice Makers\Ice Makers",https://m.media-amazon.com/images/I/41c+SzlddgL._SX342_SY445_.jpg,"Frigidaire EFIC117-SS 26 Pound Ice Maker, 26 lbs per Day, Stainless",4.4,"8,717 ratings",$92.48,In Stock,"Frigidaire EFIC117-SS 26 Pound Ice Maker, 26 lbs per day, Stainless",9 x 13 x 13 inches; 16.15 Pounds,,China,,,Frigidaire,,,Curtis,B07JBJWP2W,#12 in Ice Makers,EFIC117-SS,26 Pounds,105 watts,"August 7, 2017",EFIC120,
